时间,瞬时流量,累计流量,温度,压力,使用量
"2025-03-01 00:00:47",0.00,0.54,0.59,16.02,0.00
"2025-03-01 00:05:47",0.00,0.54,0.58,15.99,0.00
"2025-03-01 00:10:47",0.00,0.54,0.58,15.94,0.00
"2025-03-01 00:15:47",0.00,0.54,0.59,15.91,0.00
"2025-03-01 00:20:47",0.00,0.54,0.59,15.87,0.00
"2025-03-01 00:25:47",0.00,0.54,0.58,15.80,0.00
"2025-03-01 00:30:47",0.00,0.54,0.58,15.76,0.00
"2025-03-01 00:35:47",0.00,0.54,0.58,15.72,0.00
"2025-03-01 00:40:47",0.00,0.54,0.58,15.69,0.00
"2025-03-01 00:45:47",0.00,0.54,0.58,15.66,0.00
"2025-03-01 00:50:47",0.00,0.54,0.58,15.63,0.00
"2025-03-01 00:55:47",0.00,0.54,0.58,15.60,0.00
"2025-03-01 01:00:47",0.00,0.54,0.58,15.58,0.00
"2025-03-01 01:05:47",0.00,0.54,0.58,15.56,0.00
"2025-03-01 01:10:47",0.00,0.54,0.58,15.54,0.00
"2025-03-01 01:15:47",0.00,0.54,0.59,15.53,0.00
"2025-03-01 01:20:47",0.00,0.54,0.59,15.51,0.00
"2025-03-01 01:25:47",0.00,0.54,0.59,15.50,0.00
"2025-03-01 01:30:47",0.00,0.54,0.59,15.47,0.00
"2025-03-01 01:35:47",0.00,0.54,0.59,15.45,0.00
"2025-03-01 01:40:47",0.00,0.54,0.59,15.43,0.00
"2025-03-01 01:45:47",0.00,0.54,0.59,15.41,0.00
"2025-03-01 01:50:47",0.00,0.54,0.59,15.41,0.00
"2025-03-01 01:55:47",0.00,0.54,0.59,15.41,0.00
"2025-03-01 02:00:47",0.00,0.54,0.59,15.39,0.00
"2025-03-01 02:05:47",0.00,0.54,0.59,15.39,0.00
"2025-03-01 02:10:47",0.00,0.54,0.59,15.37,0.00
"2025-03-01 02:15:47",0.00,0.54,0.59,15.36,0.00
"2025-03-01 02:20:47",0.00,0.54,0.59,15.36,0.00
"2025-03-01 02:25:47",0.00,0.54,0.59,15.34,0.00
"2025-03-01 02:30:47",0.00,0.54,0.59,15.32,0.00
"2025-03-01 02:35:47",0.00,0.54,0.59,15.32,0.00
"2025-03-01 02:40:47",0.00,0.54,0.59,15.30,0.00
"2025-03-01 02:45:47",0.00,0.54,0.59,15.29,0.00
"2025-03-01 02:50:47",0.00,0.54,0.59,15.28,0.00
"2025-03-01 02:55:47",0.00,0.54,0.59,15.28,0.00
"2025-03-01 03:00:47",0.00,0.54,0.59,15.26,0.00
"2025-03-01 03:05:47",0.00,0.54,0.59,15.24,0.00
"2025-03-01 03:10:47",0.00,0.54,0.59,15.23,0.00
"2025-03-01 03:15:47",0.00,0.54,0.59,15.23,0.00
"2025-03-01 03:20:47",0.00,0.54,0.59,15.21,0.00
"2025-03-01 03:25:47",0.00,0.54,0.59,15.19,0.00
"2025-03-01 03:30:47",0.00,0.54,0.59,15.19,0.00
"2025-03-01 03:35:47",0.00,0.54,0.59,15.17,0.00
"2025-03-01 03:40:47",0.00,0.54,0.59,15.15,0.00
"2025-03-01 03:45:47",0.00,0.54,0.59,15.12,0.00
"2025-03-01 03:50:47",0.00,0.54,0.59,15.10,0.00
"2025-03-01 03:55:47",0.00,0.54,0.59,15.10,0.00
"2025-03-01 04:00:47",0.00,0.54,0.59,15.08,0.00
"2025-03-01 04:05:47",0.00,0.54,0.59,15.06,0.00
"2025-03-01 04:10:47",0.00,0.54,0.59,15.06,0.00
"2025-03-01 04:15:47",0.00,0.54,0.59,15.04,0.00
"2025-03-01 04:20:47",0.00,0.54,0.59,15.02,0.00
"2025-03-01 04:25:47",0.00,0.54,0.59,15.02,0.00
"2025-03-01 04:30:47",0.00,0.54,0.59,14.99,0.00
"2025-03-01 04:35:47",0.00,0.54,0.60,14.99,0.00
"2025-03-01 04:40:47",0.00,0.54,0.60,14.97,0.00
"2025-03-01 04:45:47",0.00,0.54,0.61,14.97,0.00
"2025-03-01 04:50:47",0.00,0.54,0.61,14.96,0.00
"2025-03-01 04:55:47",0.00,0.54,0.62,14.95,0.00
"2025-03-01 05:00:47",0.00,0.54,0.63,14.94,0.00
"2025-03-01 05:05:47",0.00,0.54,0.63,14.93,0.00
"2025-03-01 05:10:47",0.00,0.54,0.64,14.92,0.00
"2025-03-01 05:15:47",0.00,0.54,0.62,14.88,0.00
"2025-03-01 05:20:47",0.00,0.54,0.62,14.88,0.00
"2025-03-01 05:25:47",0.00,0.54,0.63,14.88,0.00
"2025-03-01 05:30:47",0.00,0.54,0.63,14.86,0.00
"2025-03-01 05:35:47",0.00,0.54,0.64,14.84,0.00
"2025-03-01 05:40:47",0.00,0.54,0.64,14.84,0.00
"2025-03-01 05:45:47",0.00,0.54,0.62,14.82,0.00
"2025-03-01 05:50:47",0.00,0.54,0.62,14.80,0.00
"2025-03-01 05:55:47",0.00,0.54,0.63,14.80,0.00
"2025-03-01 06:00:47",0.00,0.54,0.63,14.78,0.00
"2025-03-01 06:05:47",0.00,0.54,0.64,14.78,0.00
"2025-03-01 06:10:47",0.00,0.54,0.62,14.75,0.00
"2025-03-01 06:15:47",0.00,0.54,0.63,14.75,0.00
"2025-03-01 06:20:47",0.00,0.54,0.64,14.73,0.00
"2025-03-01 06:25:47",0.00,0.54,0.62,14.71,0.00
"2025-03-01 06:30:47",0.00,0.54,0.63,14.71,0.00
"2025-03-01 06:35:47",0.00,0.54,0.62,14.69,0.00
"2025-03-01 06:40:47",0.00,0.54,0.63,14.70,0.00
"2025-03-01 06:45:47",0.00,0.54,0.63,14.68,0.00
"2025-03-01 06:50:47",0.00,0.54,0.62,14.67,0.00
"2025-03-01 06:55:47",0.00,0.54,0.64,14.67,0.00
"2025-03-01 07:00:47",0.00,0.54,0.62,14.64,0.00
"2025-03-01 07:05:47",0.00,0.54,0.64,14.64,0.00
"2025-03-01 07:10:47",0.00,0.54,0.62,14.62,0.00
"2025-03-01 07:15:47",0.00,0.54,0.63,14.62,0.00
"2025-03-01 07:20:47",0.00,0.54,0.63,14.60,0.00
"2025-03-01 07:25:47",0.00,0.54,0.63,14.62,0.00
"2025-03-01 07:30:47",0.00,0.54,0.63,14.60,0.00
"2025-03-01 07:35:47",0.00,0.54,0.62,14.60,0.00
"2025-03-01 07:40:47",0.00,0.54,0.64,14.60,0.00
"2025-03-01 07:45:47",0.00,0.54,0.62,14.60,0.00
"2025-03-01 07:50:47",0.00,0.54,0.63,14.60,0.00
"2025-03-01 07:55:47",0.00,0.54,0.62,14.60,0.00
"2025-03-01 08:00:47",0.00,0.54,0.64,14.62,0.00
"2025-03-01 08:05:47",0.00,0.54,0.61,14.62,0.00
