,Forecast
2025-04-10 17:00:00,4196.613331509965
2025-04-10 17:30:00,4101.527580930221
2025-04-10 18:00:00,3840.197605953826
2025-04-10 18:30:00,3616.3169284882933
2025-04-10 19:00:00,3042.773172003905
2025-04-10 19:30:00,2480.4370068239405
2025-04-10 20:00:00,1998.2819623382736
2025-04-10 20:30:00,1778.6793236698036
2025-04-10 21:00:00,1698.9131086716511
2025-04-10 21:30:00,1675.4742770028317
2025-04-10 22:00:00,1617.3997805950567
2025-04-10 22:30:00,1570.858090166712
2025-04-10 23:00:00,1540.7631200084668
2025-04-10 23:30:00,1471.1947796668123
2025-04-11 00:00:00,1390.3611946684434
2025-04-11 00:30:00,1336.9921783039886
2025-04-11 01:00:00,1349.311529199041
2025-04-11 01:30:00,1342.7397601966434
2025-04-11 02:00:00,1335.3804645288815
2025-04-11 02:30:00,1318.0698649354413
2025-04-11 03:00:00,1318.894901360064
2025-04-11 03:30:00,1318.8804248969539
2025-04-11 04:00:00,1320.005486439552
2025-04-11 04:30:00,1305.547444508847
2025-04-11 05:00:00,1310.1021244353722
2025-04-11 05:30:00,1385.5581763239375
2025-04-11 06:00:00,1684.1376797449539
2025-04-11 06:30:00,2292.174443677678
2025-04-11 07:00:00,2887.368238324866
2025-04-11 07:30:00,3361.266459104467
2025-04-11 08:00:00,3883.9220097844964
2025-04-11 08:30:00,4155.457975957026
2025-04-11 09:00:00,4249.625289233256
2025-04-11 09:30:00,4303.71244682562
2025-04-11 10:00:00,4335.14769776257
2025-04-11 10:30:00,4328.424227111002
2025-04-11 11:00:00,4215.059382531541
2025-04-11 11:30:00,3819.0628560581995
2025-04-11 12:00:00,3650.255031623159
2025-04-11 12:30:00,3907.399732541111
2025-04-11 13:00:00,4208.655277237624
2025-04-11 13:30:00,4254.164822208631
2025-04-11 14:00:00,4283.812871738134
2025-04-11 14:30:00,4336.223363358665
2025-04-11 15:00:00,4315.382595759138
2025-04-11 15:30:00,4332.197739509743
2025-04-11 16:00:00,4333.183384024593
2025-04-11 16:30:00,4284.312198624287
