,computation_time
0,0.005839
1,0.005806
2,0.004636
3,0.004366
4,0.004748
5,0.00702
6,0.004546
7,0.004502
8,0.004356
9,0.004451
10,0.004601
11,0.004512
12,0.004457
13,0.004628
14,0.004705
15,0.004569
16,0.004491
17,0.004521
18,0.004462
19,0.00451
20,0.004431
21,0.004588
22,0.004678
23,0.004651
24,0.004877
25,0.004448
26,0.004418
27,0.004567
28,0.004417
29,0.004858
30,0.004859
31,0.004559
32,0.004564
33,0.004558
34,0.004654
35,0.004629
36,0.004507
37,0.00455
38,0.004584
39,0.004785
40,0.004696
41,0.004789
42,0.004527
43,0.004644
44,0.006047
45,0.004687
46,0.004691
47,0.004536
48,0.006332
49,0.004363
50,0.004434
51,0.004589
52,0.00453
53,0.004507
54,0.004539
55,0.004501
56,0.004608
57,0.004617
58,0.004962
59,0.00474
60,0.004604
61,0.004613
62,0.004764
63,0.004439
64,0.004422
65,0.00464
66,0.0048
67,0.004536
68,0.00443
69,0.004525
70,0.004544
71,0.004333
72,0.004336
73,0.00473
74,0.004423
75,0.004453
76,0.004622
77,0.004571
78,0.004515
79,0.004427
80,0.004567
81,0.004581
82,0.004816
83,0.004407
84,0.004373
85,0.004499
86,0.004531
87,0.004801
88,0.004432
89,0.004487
90,0.004497
91,0.004335
92,0.004338
93,0.004669
94,0.004877
95,0.004748
96,0.004646
97,0.004739
98,0.005663
99,0.004613
100,0.004637
101,0.004734
102,0.004699
103,0.005112
104,0.004502
105,0.004514
106,0.004633
107,0.00438
108,0.004655
109,0.004474
110,0.004541
111,0.004515
112,0.004837
113,0.004754
114,0.004591
115,0.004506
116,0.004649
117,0.004607
118,0.00451
119,0.004577
120,0.00464
121,0.004969
122,0.004634
123,0.004397
124,0.004562
125,0.004565
126,0.004493
127,0.00468
128,0.004488
129,0.004499
130,0.00452
131,0.004593
132,0.004381
133,0.004556
134,0.004603
135,0.004583
136,0.004371
137,0.004558
138,0.004601
139,0.004813
140,0.004437
141,0.004493
142,0.00449
143,0.004492
144,0.004386
145,0.004475
146,0.004609
147,0.004488
148,0.004447
149,0.004405
150,0.004601
151,0.004507
152,0.004475
153,0.005687
154,0.004315
155,0.004549
156,0.004707
157,0.004641
158,0.004444
159,0.00475
160,0.00465
161,0.004548
162,0.004547
163,0.004604
164,0.00465
165,0.00452
166,0.00438
167,0.004353
168,0.004707
169,0.004686
170,0.004707
171,0.004717
172,0.004613
173,0.004561
174,0.004742
175,0.004702
176,0.004682
177,0.004911
178,0.004531
179,0.004405
180,0.004591
181,0.004751
182,0.00431
183,0.004359
184,0.004604
185,0.004613
186,0.004532
187,0.004514
188,0.00476
189,0.004503
190,0.004356
191,0.00453
192,0.004505
193,0.004612
194,0.004696
195,0.004535
196,0.004418
197,0.004402
198,0.004428
199,0.004653
200,0.004426
201,0.004654
202,0.00462
203,0.00473
204,0.004639
205,0.004617
206,0.004669
207,0.004567
208,0.004548
209,0.004528
210,0.004497
211,0.00476
212,0.00452
213,0.004436
214,0.004638
215,0.004536
216,0.004792
217,0.004326
218,0.0046
219,0.004405
220,0.004569
221,0.004507
222,0.004473
223,0.004586
224,0.004685
225,0.004595
226,0.004667
227,0.004475
228,0.004531
229,0.004606
230,0.004559
231,0.004789
232,0.004589
233,0.006112
234,0.004616
235,0.004816
236,0.004866
237,0.004637
238,0.004528
239,0.004582
240,0.004448
241,0.005983
242,0.004622
243,0.00449
244,0.004491
245,0.004627
246,0.004397
247,0.004569
248,0.004585
249,0.004531
250,0.004464
251,0.00442
252,0.0045
253,0.004613
254,0.004424
255,0.00716
256,0.004328
257,0.004391
258,0.004617
259,0.004432
260,0.00432
261,0.004486
262,0.004609
263,0.004361
264,0.004391
265,0.004587
266,0.004516
267,0.004389
268,0.004684
269,0.00433
270,0.004446
271,0.004664
272,0.004464
273,0.004281
274,0.004393
275,0.004549
276,0.004308
277,0.00454
278,0.004433
279,0.004414
280,0.004478
281,0.004471
282,0.004369
283,0.004672
284,0.004562
285,0.004593
286,0.004475
287,0.004408
